description;url;image;price
Piso laminado montreal oak 7 mm 2.46 m2 (precio por caja ) ;https://cr.epaenlinea.com/piso-laminado-montreal-oak-7-mm-2-46-m2-precio-por-caja.html;https://cr.epaenlinea.com/pub/media/version20200605/catalog/product/cache/cd25e414e6d4b32acec00305cb5c9bfb/2/2/2230383_1.jpg;29.995
Piso laminado 8 mm organico resistente al agua tortona oak 2.22 m2 (precio x caja) ;https://cr.epaenlinea.com/piso-laminado-8-mm-organico-resistente-al-agua-tortona-oak-2-22-m2-precio-x-caja.html;https://cr.epaenlinea.com/pub/media/version20200605/catalog/product/cache/cd25e414e6d4b32acec00305cb5c9bfb/2/2/2230379_5.jpg;33.500
Piso laminado 8 mm organico resistente al agua heirloom oak 2.22 m2 (precio x caja) ;https://cr.epaenlinea.com/piso-laminado-8-mm-organico-resistente-al-agua-heirloom-oak-2-22-m2-precio-x-caja.html;https://cr.epaenlinea.com/pub/media/version20200605/catalog/product/cache/cd25e414e6d4b32acec00305cb5c9bfb/2/2/2230378_5.jpg;33.500
Piso laminado 7mm rock ridge oak  2,47m2 (precio por caja) ;https://cr.epaenlinea.com/piso-laminado-7mm-rock-ridge-oak-2-47m2-precio-por-caja.html;https://cr.epaenlinea.com/pub/media/version20200605/catalog/product/cache/cd25e414e6d4b32acec00305cb5c9bfb/2/2/2230368_16.jpg;29.995
Mueble aéreo de melina acabado ceniza de 2 puertas 60 x 100 x 34 cm ;https://cr.epaenlinea.com/mueble-aereo-de-melina-acabado-ceniza-de-2-puertas-60-x-100-x-34-cm.html;https://cr.epaenlinea.com/pub/media/version20200605/catalog/product/cache/cd25e414e6d4b32acec00305cb5c9bfb/2/5/2510079_5_1.jpg;59.950
Organizador de tapas ;https://cr.epaenlinea.com/organizador-de-tapas.html;https://cr.epaenlinea.com/pub/media/version20200605/catalog/product/cache/cd25e414e6d4b32acec00305cb5c9bfb/2/5/2544112.jpg;10.995
Combo de puerta de 2 tableros de 95 x 210 cm en color blanco y pomo color satín ;https://cr.epaenlinea.com/combo-de-puerta-de-2-tableros-de-95-x-210-cm-en-color-blanco-y-pomo-color-satin.html;https://cr.epaenlinea.com/pub/media/version20200605/catalog/product/cache/cd25e414e6d4b32acec00305cb5c9bfb/2/1/2106011_combo_1918121_6_1_2.jpg;22.295
Mueble sobre campana de 2 puertas wengue 37 x 76 x 32 cm ;https://cr.epaenlinea.com/mueble-sobre-campana-de-2-puertas-wengue-37-x-76-x-32-cm.html;https://cr.epaenlinea.com/pub/media/version20200605/catalog/product/cache/cd25e414e6d4b32acec00305cb5c9bfb/2/5/2510099.jpg;44.500
Mueble aéreo 2 puertas wengue 60 x 100 x 34 cm ;https://cr.epaenlinea.com/mueble-aereo-2-puertas-wengue-60-x-100-x-34-cm.html;https://cr.epaenlinea.com/pub/media/version20200605/catalog/product/cache/cd25e414e6d4b32acec00305cb5c9bfb/2/5/2510057_14.jpg;55.500
Porcelanato mirarmar de 56 x 56, 1,66 m2 (precio por caja) ;https://cr.epaenlinea.com/porcelanato-mirarmar-de-56-x-56-1-66-m2-precio-por-caja.html;https://cr.epaenlinea.com/pub/media/version20200605/catalog/product/cache/cd25e414e6d4b32acec00305cb5c9bfb/2/2/2250303_2.jpg;11.250
